,CC_As,Nombres_As,Apellidos_As,Correo_As,Genero_As,Telefono_As,Fecha_Naci_As,Edad_As,Estado_As,Estado_Gratui_As,Estado_Civil_As,Id_Us
0,445006337,Iván Ramón,Briones Palau,iván.briones@hotmail.com,M,908806660,14/1/2004,18,Inactivo,Sin gratuidad,Casado/a,a69bade4-74f4-11ed-8c78-0242ac1c000c
1,1773488835,Marcela Macarena,Vall Aguiló,marcela.vall@hotmail.com,F,971600873,2/1/1992,30,Activo,Gratuidad,Soltero/a,a69bb186-74f4-11ed-8c78-0242ac1c000c
2,916661348,Jessica Yaiza,Torres Jove,jessica.torres@hotmail.com,F,909881437,20/8/1999,23,Activo,Sin gratuidad,Casado/a,a69bb29e-74f4-11ed-8c78-0242ac1c000c
3,221233654,Marcelo Juan Francisco,Belda Alemany,marcelo.belda@hotmail.com,M,909690990,18/5/2005,17,Activo,Perdida gratuidad temporal,Casado/a,a69bb384-74f4-11ed-8c78-0242ac1c000c
4,285946442,Conrado Anastasio,Llano Rius,conrado.llano@hotmail.com,M,965415304,27/9/1990,32,Inactivo,Perdida gratuidad temporal,Viudo/a,a69bb456-74f4-11ed-8c78-0242ac1c000c
5,2467225654,Aureliano Nacio,Roldan Goñi,aureliano.roldan@hotmail.com,M,923779724,24/12/1994,27,Inactivo,Perdida gratuidad temporal,Casado/a,a69bb532-74f4-11ed-8c78-0242ac1c000c
6,2402181943,Oriana Juana,Roldan Pascual,oriana.roldan@hotmail.com,F,942661153,6/11/1996,26,Activo,Gratuidad,Soltero/a,a69bb60e-74f4-11ed-8c78-0242ac1c000c
7,1679675850,Domitila Nilda,Vives Teruel,domitila.vives@hotmail.com,F,902484081,31/12/1992,29,Activo,Gratuidad,Casado/a,a69bb6cc-74f4-11ed-8c78-0242ac1c000c
8,2441725332,Roque Virgilio,Galindo Barberá,roque.galindo@hotmail.com,M,979091066,18/6/2006,16,Activo,Gratuidad,Viudo/a,a69bb78a-74f4-11ed-8c78-0242ac1c000c
9,620677692,Esperanza Teodora,Malo Villar,esperanza.malo@hotmail.com,F,904860723,10/6/1986,36,Activo,Sin gratuidad,Casado/a,a69bb85c-74f4-11ed-8c78-0242ac1c000c
10,853805556,Rosendo Jose,Vera Valero,rosendo.vera@hotmail.com,M,979077842,20/4/1987,35,Activo,Gratuidad,Union Libre,a69bb924-74f4-11ed-8c78-0242ac1c000c
11,373771723,Inocencio Aristides,Pujol Juliá,inocencio.pujol@hotmail.com,M,935838974,19/8/1985,37,Inactivo,Gratuidad,Union Libre,a69bb9ec-74f4-11ed-8c78-0242ac1c000c
12,2487454822,Gloria Pacífica,Maestre Anguita,gloria.maestre@hotmail.com,F,981488365,20/6/1980,42,Activo,Sin gratuidad,Viudo/a,a69bbaaa-74f4-11ed-8c78-0242ac1c000c
13,286513171,Pedro Teodosio,Andres Castellanos,pedro.andres@hotmail.com,M,913881847,29/8/2006,16,Inactivo,Perdida gratuidad temporal,Divorciado,a69bbb7c-74f4-11ed-8c78-0242ac1c000c
