,Id_Us,Nombres_Us,Apellidos_Us,Correo_Us,Estado_Us,Contra_Us,Nickname_Us,Genero_Us,Telefono_Us
0,a69bade4-74f4-11ed-8c78-0242ac1c000c,Reina Angélica,Martorell Donoso,reina.martorell@hotmail.com,Inactivo,pEG2#Wcy)3,ignacia71,F,0913664110
1,a69bb186-74f4-11ed-8c78-0242ac1c000c,Juliana Genoveva,Fuentes Villalonga,juliana.fuentes@hotmail.com,Activo,KM1S#Rio&q,castroreyna,F,0950404089
2,a69bb29e-74f4-11ed-8c78-0242ac1c000c,Fernanda Benita,Ledesma Recio,fernanda.ledesma@hotmail.com,Inactivo,5Y_U60HlQ7,jordanmendoza,F,0951476242
3,a69bb384-74f4-11ed-8c78-0242ac1c000c,Luna Ale,Alsina Bilbao,luna.alsina@hotmail.com,Activo,4YP@0JHe^(,zpacheco,F,0956559914
4,a69bb456-74f4-11ed-8c78-0242ac1c000c,Epifanio Claudio,Leiva Costa,epifanio.leiva@hotmail.com,Inactivo,exFUCrh(&2,ale21,M,0901952803
5,a69bb532-74f4-11ed-8c78-0242ac1c000c,Juan Francisco Herberto,Oller Gimenez,juan francisco.oller@hotmail.com,Activo,i_0nnDK^Og,wrevilla,M,0936611454
6,a69bb60e-74f4-11ed-8c78-0242ac1c000c,Mariano Reinaldo,Leon Ureña,mariano.leon@hotmail.com,Activo,Duz4Fff%$$,celestino51,M,0917599578
7,a69bb6cc-74f4-11ed-8c78-0242ac1c000c,Ricardo Luciano,Ayuso Aramburu,ricardo.ayuso@hotmail.com,Activo,)j_3LF+g1M,hsolera,M,0983133408
8,a69bb78a-74f4-11ed-8c78-0242ac1c000c,Zaira Estrella,Colom Carreras,zaira.colom@hotmail.com,Activo,ct@7Fdkw7D,ragudo,F,0916568202
9,a69bb85c-74f4-11ed-8c78-0242ac1c000c,Clara Beatriz,Ordóñez Beltrán,clara.ordóñez@hotmail.com,Inactivo,!udnPKyML3,apariciorosalia,F,0923624434
10,a69bb924-74f4-11ed-8c78-0242ac1c000c,Eric Héctor,Peralta Salamanca,eric.peralta@hotmail.com,Activo,!3WKArU5hm,azucena63,M,0908060885
11,a69bb9ec-74f4-11ed-8c78-0242ac1c000c,Bibiana Paloma,Guzmán Alegre,bibiana.guzmán@hotmail.com,Activo,_78HYgtf2H,juliana67,F,0964295824
12,a69bbaaa-74f4-11ed-8c78-0242ac1c000c,Maximino Onofre,Navarrete Balaguer,maximino.navarrete@hotmail.com,Activo,ao&u4XlX%5,melisa07,M,0986925896
13,a69bbb7c-74f4-11ed-8c78-0242ac1c000c,José Mari Alfonso,Mariño Bermudez,josé mari.mariño@hotmail.com,Activo,g1Mpyvsc^6,nrocamora,M,0957023694
14,a69bbc4e-74f4-11ed-8c78-0242ac1c000c,Valentín Sosimo,Medina Manuel,valentín.medina@hotmail.com,Activo,NA6*zEr+$x,bacosta,M,0900508078
15,a69bbd16-74f4-11ed-8c78-0242ac1c000c,Noé José Ángel,Santamaria Gordillo,noé.santamaria@hotmail.com,Inactivo,3*R28S7jzJ,porcelgoyo,M,0925991096
16,a69bbdd4-74f4-11ed-8c78-0242ac1c000c,Lope Marino,Armengol Cabrero,lope.armengol@hotmail.com,Activo,B*62)w)wcI,roberta62,M,0993264502
17,a69bbe9c-74f4-11ed-8c78-0242ac1c000c,Gertrudis Dafne,Amigó Gallart,gertrudis.amigó@hotmail.com,Inactivo,4%6DU_j_lI,miguel-angelpascual,F,0978497397
18,a69bbf5a-74f4-11ed-8c78-0242ac1c000c,Carlota Noelia,Coloma Mir,carlota.coloma@hotmail.com,Inactivo,X3^P%w8G@X,rosalva23,F,0955694339
19,a69bc022-74f4-11ed-8c78-0242ac1c000c,Hipólito Luís,Báez Manuel,hipólito.báez@hotmail.com,Activo,m7v5QW!w$5,teofilapenas,M,0925438632
20,a69bc0d6-74f4-11ed-8c78-0242ac1c000c,Noa Zaira,Elorza Tomás,noa.elorza@hotmail.com,Inactivo,Q!9AZnv_!Y,curro92,F,0922092717
21,a69bc19e-74f4-11ed-8c78-0242ac1c000c,Olivia Tania,Fabregat Barbero,olivia.fabregat@hotmail.com,Activo,k+&I2Ed89W,kcaro,F,0941684551
22,a69bc252-74f4-11ed-8c78-0242ac1c000c,Ramón Angelino,Becerra Seco,ramón.becerra@hotmail.com,Inactivo,h0Glm1z8*B,kfrancisco,M,0971501091
23,a69bc310-74f4-11ed-8c78-0242ac1c000c,Fabricio José Ángel,Márquez Rueda,fabricio.márquez@hotmail.com,Activo,10vTbxr*%8,campsjose-antonio,M,0993147001
24,a69bc3ce-74f4-11ed-8c78-0242ac1c000c,Saturnina Julia,Diez Llano,saturnina.diez@hotmail.com,Inactivo,9k@a7T4e4k,ballesterdaniela,F,0988472412
25,a69bc496-74f4-11ed-8c78-0242ac1c000c,Jaime Esteban,Arana Prat,jaime.arana@hotmail.com,Inactivo,#9z9m9PzF@,laraherrera,M,0943125565
26,a69bc568-74f4-11ed-8c78-0242ac1c000c,Zacarías Nico,Higueras Castell,zacarías.higueras@hotmail.com,Activo,pE4UUFZp@j,santiagotenorio,M,0913535051
27,a69bc630-74f4-11ed-8c78-0242ac1c000c,Amado Luis Ángel,Solera Moreno,amado.solera@hotmail.com,Inactivo,!*BpOeRL)5,anicolas,M,0950137546
28,a69bc6f8-74f4-11ed-8c78-0242ac1c000c,Nydia Dora,Oliva Esteban,nydia.oliva@hotmail.com,Activo,t3Raj!CU(0,cristianmayoral,F,0996144798
29,a69bc7b6-74f4-11ed-8c78-0242ac1c000c,Ovidio Andrés,Cervera Tudela,ovidio.cervera@hotmail.com,Inactivo,i8T#e)wB^q,fortunataalvarado,M,0971649143
30,a69bc914-74f4-11ed-8c78-0242ac1c000c,Chus Chus,Perelló Royo,chus.perelló@hotmail.com,Inactivo,%T6Zib5G+9,patinoandres-felipe,F,0946372853
31,a69c11a8-74f4-11ed-8c78-0242ac1c000c,Soraya Elvira,España Alemán,soraya.españa@hotmail.com,Inactivo,Cu9TD2a_3@,guiomarcarbonell,F,0987736118
32,a69c1478-74f4-11ed-8c78-0242ac1c000c,Hipólito Sergio,Baños Roig,hipólito.baños@hotmail.com,Activo,DZ87!TJtp&,lupe19,M,0951292013
33,a69c1590-74f4-11ed-8c78-0242ac1c000c,Eloísa Viviana,Prado Luna,eloísa.prado@hotmail.com,Activo,FE1TqRfGi%,wcamara,F,0932671385
